sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	25688	0.0	4.45	0.0445	1.0	0.08520823360459549
2000	33504	0.0312002	96.2	0.8888888888888888	0.24742268041237114	0.3870967741935484
4000	37472	0.0312002	94.25	1.0	0.16666666666666666	0.2857142857142857
6000	41184	0.0312002	78.4	0.20874751491053678	0.7553956834532374	0.32710280373831774
8000	41184	0.0468003	94.85	1.0	0.1557377049180328	0.2695035460992908
10000	41472	0.0624004	95.85	0.6075949367088608	0.48	0.5363128491620112
12000	42608	0.0624004	96.45	1.0	0.14457831325301204	0.25263157894736843
14000	66512	0.0780005	95.4	0.5098039215686274	0.27956989247311825	0.36111111111111105
16000	66864	0.0780005	85.55	0.1444866920152091	0.37254901960784315	0.20821917808219176
18000	66976	0.0780005	95.0	0.75	0.057692307692307696	0.10714285714285714
20000	66976	0.0936006	95.8	0.6111111111111112	0.125	0.20754716981132076
22000	66976	0.0936006	87.3	0.18214285714285713	0.6710526315789473	0.28651685393258425
24000	66976	0.1092007	93.7	0.0	0.0	0.0
26000	66976	0.1092007	71.65	0.0	0.0	0.0
