sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	24848	0.0	3.7	0.037	1.0	0.07135969141755062
2000	51496	0.0624004	95.1	0.0	0.0	0.0
4000	55752	0.0936006	93.1	0.8	0.028368794326241134	0.0547945205479452
6000	66984	0.1404009	65.25	0.12137931034482759	0.6027397260273972	0.2020665901262916
8000	78640	0.1716011	84.4	0.13380281690140844	0.36538461538461536	0.1958762886597938
10000	79504	0.1872012	53.45	0.07889344262295082	0.7064220183486238	0.14193548387096774
12000	90288	0.1872012	79.15	0.10576923076923077	0.4943820224719101	0.17425742574257427
14000	98656	0.2028013	92.95	0.3333333333333333	0.42424242424242425	0.3733333333333333
16000	99472	0.2184014	79.4	0.12761020881670534	0.6043956043956044	0.210727969348659
18000	28904	0.2184014	94.9	0.43478260869565216	0.10101010101010101	0.16393442622950818
20000	33112	0.2340015	44.15	0.06159110350727117	0.782608695652174	0.11419508326724823
22000	33128	0.2496016	64.9	0.09395973154362416	0.7216494845360825	0.16627078384798102
24000	37304	0.2808018	70.4	0.19214586255259467	0.8954248366013072	0.31639722863741343
26000	64432	0.2964019	74.3	0.6607142857142857	0.43529411764705883	0.5248226950354609
