sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	24512	0.0	5.1	0.051	1.0	0.09705042816365367
2000	37936	0.0	95.3	0.75	0.03125	0.06
4000	38104	0.0156001	93.65	1.0	0.05925925925925926	0.11188811188811189
6000	42248	0.0312002	91.3	0.3473684210526316	0.5689655172413793	0.43137254901960786
8000	63760	0.0312002	95.55	1.0	0.07291666666666667	0.13592233009708737
10000	64584	0.0624004	85.1	0.10330578512396695	0.2358490566037736	0.14367816091954022
12000	67400	0.0624004	96.3	0.8571428571428571	0.14285714285714285	0.24489795918367344
14000	67528	0.0624004	95.2	0.625	0.14705882352941177	0.2380952380952381
16000	67528	0.0624004	94.8	0.20689655172413793	0.06896551724137931	0.10344827586206896
18000	67640	0.0624004	94.95	0.8571428571428571	0.05660377358490566	0.10619469026548672
20000	67640	0.0780005	96.65	0.6190476190476191	0.18055555555555555	0.27956989247311825
22000	67808	0.0780005	92.7	0.34415584415584416	0.5408163265306123	0.4206349206349207
24000	67824	0.0780005	93.2	0.6666666666666666	0.27848101265822783	0.3928571428571428
26000	67824	0.0780005	72.5	1.0	0.21333333333333335	0.3516483516483517
