sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	144	0.0	8.6	0.086	1.0	0.1583793738489871
2000	7928	0.0	92.75	0.75	0.2849162011173184	0.41295546558704455
4000	11888	0.0	89.95	1.0	0.1625	0.27956989247311825
6000	15560	0.0	86.25	0.45544554455445546	0.5564516129032258	0.500907441016334
8000	15560	0.0	89.9	0.725	0.24369747899159663	0.36477987421383645
10000	15848	0.0	94.1	0.8928571428571429	0.4076086956521739	0.5597014925373134
12000	24312	0.0	92.6	1.0	0.23316062176165803	0.37815126050420167
14000	25080	0.0156001	90.4	0.4188034188034188	0.2832369942196532	0.33793103448275863
16000	33528	0.0156001	88.8	0.3617021276595745	0.08056872037914692	0.1317829457364341
18000	33568	0.0156001	92.8	1.0	0.10559006211180125	0.19101123595505617
20000	57424	0.0312002	89.55	0.6271186440677966	0.16517857142857142	0.2614840989399293
22000	81648	0.0312002	81.6	0.17438692098092642	0.49612403100775193	0.25806451612903225
24000	81992	0.0312002	86.4	0.44345238095238093	0.6367521367521367	0.5228070175438596
26000	82296	0.0468003	91.25	0.7478260869565218	0.3706896551724138	0.4956772334293948
28000	82296	0.0468003	45.95	0.7777777777777778	0.3888888888888889	0.5185185185185185
