sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	144	0.0	4.85	0.0485	1.0	0.09251311397234144
2000	7920	0.0	96.2	0.9545454545454546	0.21875	0.3559322033898305
4000	11880	0.0	94.45	1.0	0.112	0.2014388489208633
6000	33336	0.0	81.6	0.2109004739336493	0.717741935483871	0.326007326007326
8000	34408	0.0156001	95.55	1.0	0.02197802197802198	0.043010752688172046
10000	34648	0.0156001	95.2	0.75	0.4090909090909091	0.5294117647058824
12000	40808	0.0156001	96.9	0.7857142857142857	0.15714285714285714	0.2619047619047619
14000	40808	0.0156001	96.55	0.5	0.15942028985507245	0.24175824175824173
16000	40928	0.0156001	93.65	0.22727272727272727	0.0970873786407767	0.13605442176870747
18000	40984	0.0156001	94.2	0.14285714285714285	0.009009009009009009	0.01694915254237288
20000	40984	0.0156001	95.85	0.29411764705882354	0.06578947368421052	0.1075268817204301
22000	40984	0.0156001	87.9	0.2054263565891473	0.5888888888888889	0.3045977011494253
24000	40992	0.0156001	92.95	0.0	0.0	0.0
26000	40992	0.0156001	70.35	1.0	0.14606741573033707	0.25490196078431376
