sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	25688	0.0	39.6	0.396	1.0	0.5673352435530087
2000	37488	0.0156001	86.25	0.9010654490106544	0.7381546134663342	0.8115147361206305
4000	41456	0.0156001	76.8	0.8649289099526066	0.4727979274611399	0.6113902847571189
6000	45456	0.0312002	72.95	0.8978388998035364	0.48308668076109934	0.6281786941580756
8000	45456	0.0312002	85.3	0.7891805887032617	0.9715964740450539	0.8709394205443373
10000	49432	0.0312002	77.8	0.7449596774193549	0.7946236559139785	0.7689906347554631
12000	72520	0.0312002	67.4	0.6289962825278811	0.8468468468468469	0.7218430034129694
14000	72520	0.0312002	70.8	0.8767908309455588	0.3612750885478158	0.5117056856187291
16000	72824	0.0468003	70.2	0.6304985337243402	0.5555555555555556	0.5906593406593407
18000	79592	0.0468003	80.2	0.973630831643002	0.5561993047508691	0.7079646017699115
20000	79704	0.0468003	72.55	0.9774011299435028	0.24094707520891365	0.38659217877094976
22000	108184	0.0624004	65.6	0.8199052132701422	0.21020656136087484	0.3346228239845261
24000	29744	0.0624004	78.35	0.7933130699088146	0.6373626373626373	0.7068381855111712
26000	33944	0.0780005	74.7	0.8298319327731093	0.4817073170731707	0.6095679012345679
28000	38184	0.0936006	77.75	0.8842592592592593	0.49163449163449163	0.6319272125723738
30000	42408	0.0936006	71.85	0.6438188494492044	0.6591478696741855	0.6513931888544893
32000	46592	0.0936006	67.55	0.6096440872560276	0.6321428571428571	0.6206896551724138
34000	46600	0.0936006	63.35	0.49700598802395207	0.6850068775790922	0.5760555234239445
36000	46632	0.1092007	63.8	0.4862681744749596	0.8724637681159421	0.6244813278008299
38000	71112	0.1248008	72.05	0.740894901144641	0.6966731898238747	0.7181038830055472
40000	71480	0.1248008	82.35	0.8922018348623854	0.7502410800385728	0.8150864326872709
42000	75704	0.1404009	83.35	0.8579626972740315	0.71875	0.7822105951602354
44000	75752	0.1404009	52.1	0.8486842105263158	0.6581632653061225	0.7413793103448276
