sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	22648	0.0	98.9	0.0	0.0	0.0
2000	24968	0.0	0.95	0.0095	1.0	0.018821198613174838
4000	27472	0.015625	100.0	1.0	1.0	1.0
6000	28808	0.046875	100.0	1.0	1.0	1.0
8000	28976	0.0625	100.0	1.0	1.0	1.0
10000	28976	0.078125	100.0	1.0	1.0	1.0
12000	29144	0.109375	100.0	1.0	1.0	1.0
14000	29144	0.109375	100.0	1.0	1.0	1.0
16000	29144	0.125	100.0	1.0	1.0	1.0
18000	29144	0.125	100.0	1.0	1.0	1.0
20000	29144	0.125	100.0	1.0	1.0	1.0
22000	29312	0.15625	100.0	1.0	1.0	1.0
24000	29312	0.171875	100.0	1.0	1.0	1.0
26000	29312	0.171875	100.0	1.0	1.0	1.0
28000	29312	0.203125	100.0	1.0	1.0	1.0
30000	29312	0.21875	100.0	1.0	1.0	1.0
32000	29312	0.21875	100.0	1.0	1.0	1.0
34000	29312	0.21875	100.0	1.0	1.0	1.0
36000	29312	0.234375	100.0	1.0	1.0	1.0
38000	29312	0.25	100.0	1.0	1.0	1.0
40000	29312	0.25	100.0	1.0	1.0	1.0
42000	29312	0.265625	100.0	1.0	1.0	1.0
44000	29480	0.265625	100.0	1.0	1.0	1.0
46000	29480	0.296875	100.0	1.0	1.0	1.0
48000	29480	0.3125	100.0	1.0	1.0	1.0
50000	29480	0.328125	100.0	1.0	1.0	1.0
52000	29480	0.34375	100.0	1.0	1.0	1.0
54000	29480	0.359375	100.0	1.0	1.0	1.0
56000	29480	0.359375	100.0	1.0	1.0	1.0
58000	29480	0.375	100.0	1.0	1.0	1.0
60000	29480	0.390625	100.0	1.0	1.0	1.0
62000	29480	0.40625	100.0	1.0	1.0	1.0
64000	29480	0.421875	100.0	1.0	1.0	1.0
66000	29480	0.453125	100.0	1.0	1.0	1.0
68000	29480	0.453125	100.0	1.0	1.0	1.0
70000	29480	0.453125	100.0	1.0	1.0	1.0
72000	29480	0.46875	100.0	1.0	1.0	1.0
74000	29480	0.46875	100.0	1.0	1.0	1.0
76000	29480	0.484375	100.0	1.0	1.0	1.0
78000	29480	0.5	100.0	1.0	1.0	1.0
80000	29480	0.515625	100.0	1.0	1.0	1.0
82000	29480	0.53125	100.0	1.0	1.0	1.0
84000	29648	0.546875	100.0	1.0	1.0	1.0
86000	29648	0.5625	100.0	1.0	1.0	1.0
88000	29648	0.578125	100.0	1.0	1.0	1.0
90000	29648	0.59375	100.0	1.0	1.0	1.0
92000	29648	0.609375	100.0	1.0	1.0	1.0
94000	29648	0.625	100.0	1.0	1.0	1.0
96000	29648	0.640625	100.0	1.0	1.0	1.0
98000	29648	0.65625	100.0	1.0	1.0	1.0
100000	29648	0.671875	100.0	1.0	1.0	1.0
102000	29648	0.671875	100.0	1.0	1.0	1.0
104000	29648	0.703125	100.0	1.0	1.0	1.0
106000	29648	0.703125	100.0	1.0	1.0	1.0
108000	29648	0.703125	100.0	1.0	1.0	1.0
110000	29648	0.703125	100.0	1.0	1.0	1.0
112000	29648	0.71875	100.0	1.0	1.0	1.0
114000	29648	0.734375	100.0	1.0	1.0	1.0
116000	29648	0.75	100.0	1.0	1.0	1.0
118000	29648	0.765625	100.0	1.0	1.0	1.0
120000	29648	0.78125	100.0	1.0	1.0	1.0
122000	29648	0.8125	100.0	1.0	1.0	1.0
124000	29648	0.8125	100.0	1.0	1.0	1.0
126000	29648	0.8125	100.0	1.0	1.0	1.0
128000	29648	0.828125	100.0	1.0	1.0	1.0
