sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	23792	0.015625	50.0	0.0	0.0	0.0
2000	30872	0.0625	63.5	0.6630434782608695	0.549	0.600656455142232
4000	30704	0.09375	58.35	0.6859688195991092	0.308	0.4251207729468599
6000	30704	0.125	49.15	0.4838095238095238	0.254	0.33311475409836067
8000	30872	0.15625	50.5	0.5079617834394905	0.319	0.39189189189189194
10000	36328	0.203125	52.95	0.5454545454545454	0.354	0.42935112189205576
12000	30872	0.234375	52.95	0.5830985915492958	0.207	0.30553505535055353
14000	36328	0.265625	43.3	0.4394213381555154	0.486	0.4615384615384615
16000	30872	0.3125	59.35	0.5899903753609239	0.613	0.6012751348700343
18000	42072	0.359375	52.45	0.530209617755857	0.43	0.47487575924903364
20000	36328	0.40625	52.7	0.5906040268456376	0.176	0.2711864406779661
22000	30704	0.421875	51.2	0.5072904009720535	0.835	0.6311413454270597
24000	30536	0.453125	53.1	0.6614583333333334	0.127	0.21308724832214768
26000	36160	0.5	52.3	0.5520361990950227	0.244	0.33841886269070737
28000	36328	0.546875	53.45	0.6169491525423729	0.182	0.2810810810810811
30000	36328	0.59375	59.2	0.628133704735376	0.451	0.5250291036088476
32000	30872	0.625	55.4	0.5846394984326019	0.373	0.4554334554334554
34000	30872	0.671875	65.55	0.7853211009174312	0.428	0.5540453074433658
36000	30704	0.703125	62.75	0.8057553956834532	0.336	0.4742413549752999
38000	30872	0.75	53.8	0.6792452830188679	0.144	0.23762376237623759
40000	30472	0.78125	50.0	0.0	0.0	0.0
42000	30704	0.796875	59.3	0.86328125	0.221	0.3519108280254777
44000	41952	0.828125	53.75	0.5824175824175825	0.265	0.3642611683848797
46000	36816	0.84375	50.15	0.5018541409147095	0.406	0.44886677722498614
48000	30704	0.890625	55.6	0.6842105263157895	0.208	0.31901840490797545
50000	30704	0.921875	50.7	0.5095367847411444	0.374	0.4313725490196078
52000	30872	0.953125	47.85	0.47152317880794703	0.356	0.4056980056980057
54000	30704	1.0	54.1	0.6589147286821705	0.17	0.2702702702702703
56000	30704	1.015625	52.2	0.5654761904761905	0.19	0.2844311377245509
58000	31040	1.03125	43.4	0.42857142857142855	0.396	0.41164241164241167
60000	30872	1.0625	53.25	0.5981873111782477	0.198	0.2975206611570248
62000	30368	1.078125	51.3	1.0	0.026	0.050682261208576995
64000	30704	1.109375	54.7	0.5531674208144797	0.489	0.5191082802547771
66000	31040	1.140625	61.0	0.7115384615384616	0.37	0.48684210526315785
68000	30536	1.171875	55.65	0.5762483130904184	0.427	0.49052268811028144
70000	30872	1.21875	62.85	0.6641123882503193	0.52	0.5832865956253506
72000	36816	1.25	72.05	0.780891719745223	0.613	0.6868347338935574
74000	30872	1.296875	63.45	0.7152	0.447	0.5501538461538462
76000	30472	1.328125	50.0	0.0	0.0	0.0
78000	30872	1.359375	69.8	0.7690217391304348	0.566	0.6520737327188939
80000	30872	1.375	54.65	0.582010582010582	0.33	0.42118698149329936
82000	30704	1.390625	51.9	0.7638888888888888	0.055	0.10261194029850745
84000	36496	1.40625	58.2	0.6056701030927835	0.47	0.5292792792792793
86000	30872	1.453125	50.4	0.5050632911392405	0.399	0.4458100558659218
88000	30704	1.484375	50.5	0.5109170305676856	0.234	0.3209876543209877
90000	30600	1.5	44.05	0.4374342797055731	0.416	0.42644797539723217
92000	30872	1.546875	53.85	0.5544554455445545	0.392	0.45928529584065614
94000	30704	1.59375	53.65	0.5842956120092379	0.253	0.35310537334263786
96000	41952	1.625	54.75	0.5571600481347774	0.463	0.5057345712725287
